Step,Validation Loss,Optimizer,Architecture,Attention Type,Weight Tying,Attention Sink
3.0,2.5031763434410097,LION,Dense,Full Context,Untied Weights,No Sink (Gated)
0.0,4.9729856014251705,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
1.0,3.1237715005874636,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
2.0,3.0958029985427857,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
3.0,3.085609185695648,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
4.0,3.0903430700302126,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
0.0,4.874740791320801,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
1.0,3.1949745655059814,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
2.0,3.191219222545624,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
3.0,3.2252646327018737,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
4.0,3.1516123056411742,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
5.0,3.0317055940628053,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
6.0,2.9427616953849793,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
7.0,2.895873188972473,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
8.0,2.896722137928009,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
9.0,2.8725927829742433,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
10.0,2.80209333896637,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
11.0,2.823441672325134,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
12.0,2.783415341377258,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
13.0,2.8714747190475465,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
14.0,2.962531554698944,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
15.0,2.9821855545043947,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
16.0,3.0186558604240417,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
17.0,3.073487389087677,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
18.0,3.0795911073684694,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
19.0,3.066532921791077,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
20.0,3.0605841279029846,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
21.0,3.057953381538391,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
22.0,3.0487159967422484,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
23.0,3.040072166919708,LION,MoE,Sliding Window,Tied Weights,No Sink (Gated)
0.0,4.817120957374573,LION,Dense,Full Context,Tied Weights,No Sink (Gated)
1.0,2.995031702518463,LION,Dense,Full Context,Tied Weights,No Sink (Gated)
2.0,2.9796802759170533,LION,Dense,Full Context,Tied Weights,No Sink (Gated)
3.0,2.982423758506775,LION,Dense,Full Context,Tied Weights,No Sink (Gated)
4.0,2.966751444339752,LION,Dense,Full Context,Tied Weights,No Sink (Gated)
5.0,2.893905448913574,LION,Dense,Full Context,Tied Weights,No Sink (Gated)
6.0,2.788096618652344,LION,Dense,Full Context,Tied Weights,No Sink (Gated)
7.0,2.6747114062309265,LION,Dense,Full Context,Tied Weights,No Sink (Gated)
8.0,2.62420414686203,LION,Dense,Full Context,Tied Weights,No Sink (Gated)
9.0,2.6109625101089478,LION,Dense,Full Context,Tied Weights,No Sink (Gated)
0.0,5.342743873596191,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
1.0,3.383861804008484,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
2.0,3.247258114814758,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
3.0,3.2252490401268004,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
4.0,3.2348782896995543,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
5.0,3.223552906513214,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
6.0,3.0490002036094666,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
7.0,2.892063021659851,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
8.0,2.817450022697449,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
9.0,2.7397444248199463,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
10.0,2.72273371219635,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
11.0,2.665737736225128,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
12.0,2.6347687602043153,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
13.0,2.6084908127784727,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
14.0,2.5987672328948976,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
15.0,2.588049924373627,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
16.0,2.5663291215896606,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
17.0,2.56994172334671,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
18.0,2.569902038574219,ADAFACTOR,MoE,Full Context,Untied Weights,Standard Attention
0.0,4.987965869903564,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
1.0,3.1549512267112734,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
2.0,3.0691246509552004,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
3.0,3.015499496459961,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
4.0,2.9975669980049133,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
5.0,2.9814969897270203,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
6.0,2.978037452697754,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
7.0,2.9604339838027953,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
8.0,2.913929045200348,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
9.0,2.8539819002151487,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
10.0,2.8112066268920897,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
11.0,2.7927157878875732,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
12.0,2.7710567355155944,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
13.0,2.769725811481476,ADAFACTOR,Dense,Full Context,Tied Weights,Standard Attention
0.0,5.0397765874862674,ADAFACTOR,MoE,Sliding Window,Tied Weights,No Sink (Gated)
1.0,3.5053038001060486,ADAFACTOR,MoE,Sliding Window,Tied Weights,No Sink (Gated)
2.0,3.2560237526893614,ADAFACTOR,MoE,Sliding Window,Tied Weights,No Sink (Gated)
3.0,3.1577951550483703,ADAFACTOR,MoE,Sliding Window,Tied Weights,No Sink (Gated)
4.0,3.016460859775543,ADAFACTOR,MoE,Sliding Window,Tied Weights,No Sink (Gated)
0.0,4.94520001411438,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
1.0,3.1598389625549315,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
2.0,3.0133501291275024,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
3.0,2.8323267817497255,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
4.0,2.684930074214935,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
5.0,2.6474870800971986,ADAFACTOR,Dense,Sliding Window,Untied Weights,No Sink (Gated)
0.0,5.07942271232605,LION,MoE,Sliding Window,Untied Weights,No Sink (Gated)
1.0,3.2688883781433105,LION,MoE,Sliding Window,Untied Weights,No Sink (Gated)
2.0,3.3073045015335083,LION,MoE,Sliding Window,Untied Weights,No Sink (Gated)
