Architecture,VRAM (GB),Optimizer
Dense,0.183262976,ADAFACTOR
Dense,0.190670592,ADAFACTOR
Dense,0.198014208,ADAFACTOR
Dense,0.19961728,ADAFACTOR
Dense,0.20084224,ADAFACTOR
Dense,0.162505216,ADAFACTOR
Dense,0.16735616,ADAFACTOR
Dense,0.1770048,ADAFACTOR
Dense,0.177194752,ADAFACTOR
Dense,0.175766016,ADAFACTOR
Dense,0.178231552,ADAFACTOR
Dense,0.175778816,ADAFACTOR
Dense,0.176511488,ADAFACTOR
Dense,0.17810432,ADAFACTOR
Dense,0.17546752,ADAFACTOR
Dense,0.182475776,ADAFACTOR
Dense,0.187753472,ADAFACTOR
MoE,0.26793728,LION
MoE,0.275072512,LION
MoE,0.278230272,LION
MoE,0.281912576,LION
MoE,0.280538112,LION
MoE,0.279666688,LION
MoE,0.279469824,LION
MoE,0.284333056,LION
MoE,0.286343168,LION
MoE,0.284187904,LION
MoE,0.286722816,LION
MoE,0.28208,LION
MoE,0.28412416,LION
MoE,0.285346048,LION
MoE,0.124279552,ADAFACTOR
MoE,0.13739776,ADAFACTOR
MoE,0.13820928,ADAFACTOR
MoE,0.14412032,ADAFACTOR
MoE,0.145634048,ADAFACTOR
MoE,0.143257856,ADAFACTOR
MoE,0.145341696,ADAFACTOR
MoE,0.147121664,ADAFACTOR
MoE,0.149413376,ADAFACTOR
MoE,0.150535936,ADAFACTOR
MoE,0.1509312,ADAFACTOR
MoE,0.153423616,ADAFACTOR
MoE,0.153332224,ADAFACTOR
MoE,0.147585024,ADAFACTOR
MoE,0.605548544,LION
MoE,0.614272768,LION
MoE,0.617008384,LION
MoE,0.614409728,LION
MoE,0.617362432,LION
MoE,0.617418496,LION
MoE,0.616475136,LION
MoE,0.620486656,LION
MoE,0.621348864,LION
MoE,0.62271616,LION
MoE,0.620460288,LION
MoE,0.620773888,LION
MoE,0.620968192,LION
MoE,0.624443904,LION
MoE,0.629611776,LION
MoE,0.627073536,LION
MoE,0.624954112,LION
MoE,0.627470848,LION
MoE,0.62658688,LION
MoE,0.163488256,LION
MoE,0.16604288,LION
MoE,0.167120896,LION
MoE,0.168554752,LION
MoE,1.386577408,ADAMW
MoE,1.3987456,ADAMW
MoE,1.405092096,ADAMW
MoE,1.408856064,ADAMW
MoE,1.419334912,ADAMW
MoE,1.413453312,ADAMW
MoE,1.43023232,ADAMW
MoE,0.088305664,ADAFACTOR
MoE,0.091269632,ADAFACTOR
MoE,0.090304768,ADAFACTOR
MoE,0.092924416,ADAFACTOR
MoE,0.09436032,ADAFACTOR
Dense,0.220178432,LION
Dense,0.226473216,LION
Dense,0.235262464,LION
Dense,0.22907904,LION
Dense,0.238133248,LION
Dense,0.240245504,LION
Dense,0.063354112,LION
