alpha_balance,batch_size,context_window,dim,dropout_rate,epochs,expansion,grad_accum,kv_heads,lr,max_context,n_experts,no_sink,num_blocks,optimizer,pos_encoding,sliding_window,tokenizer_type,top_k_mlp,use_moe,use_swiglu,warmup_steps,weight_tying,val_loss,ms_per_step,vram_gb,effective_batch_size
,32,,256,0.15,24,4,4,4,0.001105142034762755,256,,False,16,lion,rotary,False,char,,False,False,50,True,2.2923855066299437,356.497597694397,0.122948352,128
0.06465186141790755,24,64.0,768,0.10244766610712418,24,4,1,2,0.004695724846561636,512,16.0,False,10,adafactor,rotary,True,char,4.0,True,False,16,False,1.784369593858719,2632.658715248108,3.237850368,24
0.026123375621188015,64,32.0,512,0.1,24,2,4,4,0.0038614844375936177,256,6.0,False,16,lion,rotary,True,char,1.0,True,False,50,True,2.738740634918213,1865.781979560852,0.977138432,256
,24,96.0,128,0.2364162322013399,24,4,2,1,0.000752507203092606,192,,True,16,adamw,absolute,True,char,,False,True,210,True,1.9847759425640106,322.2957515716553,0.070980608,48
0.103578012637653,32,,512,0.1,24,4,8,2,0.00024868412314767255,512,6.0,False,8,lion,absolute,False,bpe,1.0,True,True,100,True,6.826731848716736,736.6627836227417,1.318660608,256
0.06221027993761121,32,64.0,256,0.1,24,4,8,2,0.003995524287440838,512,4.0,True,16,lion,rotary,True,char,1.0,True,False,50,True,2.3553264141082764,639.141697883606,0.360002048,256
0.20475350839556888,64,192.0,768,0.0343909678125222,24,8,1,4,0.0007117732864375739,384,6.0,True,6,adafactor,rotary,True,char,2.0,True,False,217,True,2.411461961269379,2098.355813026428,1.511031808,64
,64,32.0,512,0.15,24,4,8,4,0.001115673921444565,256,,False,12,adafactor,absolute,True,char,,False,True,50,True,2.726525831222534,473.46145153045654,0.246869248,512
0.0850628250283098,16,,512,0.1,24,4,4,4,0.0002305390972007685,256,6.0,False,12,lion,rotary,False,char,2.0,True,False,50,False,1.8035557985305786,530.8282613754272,1.360891648,64
,32,32.0,512,0.1,24,4,8,4,0.0011024654171779094,512,,True,16,lion,rotary,True,char,,False,False,100,True,2.0143182992935182,646.510705947876,0.480121344,256
,32,,256,0.15,24,4,4,2,0.0004210193414392134,512,,True,12,adafactor,absolute,False,char,,False,True,50,True,2.8384074449539183,825.4712915420532,0.08038272,128
,32,96.0,384,0.13601978958970792,24,4,1,1,0.011585577194337148,512,,True,14,lion,rotary,True,bpe,,False,False,196,True,6.121953535079956,603.8179159164429,0.251510016,32
,32,32.0,128,0.08018369296605228,24,8,4,1,0.0007880073490058326,128,,False,20,adamw,rotary,True,bpe,,False,False,146,False,5.025664138793945,469.56151962280273,0.096785152,128
0.07236434239074822,64,32.0,256,0.15,24,2,8,2,0.0001964003509236998,256,6.0,True,12,lion,rotary,True,char,1.0,True,True,200,False,1.8356053471565246,694.1049242019653,0.293966336,512
0.02561826097329399,16,32.0,512,0.15,24,2,8,4,0.0003180646080192847,256,6.0,True,16,lion,rotary,True,char,1.0,True,True,50,False,1.5513526499271393,624.9251079559326,1.428916992,128
0.012143195077134857,64,32.0,512,0.15,24,4,8,2,0.0003738985221431241,512,6.0,True,8,lion,rotary,True,char,2.0,True,True,100,False,1.9931515812873841,1316.727695465088,1.385771264,512
0.014841460756853253,32,,512,0.0,24,4,4,4,0.000505357677205754,256,4.0,True,12,lion,rotary,False,char,1.0,True,False,50,True,1.6617496073246003,432.91741371154785,0.953819136,128
0.14154229028664722,8,32.0,256,0.2483638242053784,24,8,1,2,2.3825788379017024e-05,384,6.0,True,14,adamw,rotary,True,char,1.0,True,False,204,True,2.2561375379562376,329.88059520721436,1.224342016,8
,16,,512,0.1,24,4,2,4,0.000242528236993415,512,,True,12,lion,absolute,False,bpe,,False,True,200,True,6.709740424156189,252.672438621521,0.485080832,32
0.02864312692597918,32,,512,0.0,24,4,8,2,0.0021857081906603085,256,4.0,False,16,lion,absolute,False,char,2.0,True,False,100,False,2.5695791006088258,999.0585088729858,1.264379648,256
,8,128.0,512,0.12873643170347,24,4,8,8,4.903588892578432e-05,256,,True,10,adafactor,rotary,True,char,,False,False,40,True,2.329044771194458,168.79589557647705,0.16242816,64
0.20222091426341857,8,64.0,384,0.10819285175395955,24,2,2,4,9.407819693680816e-05,512,2.0,False,6,adafactor,absolute,True,char,1.0,True,True,183,True,3.192155361175537,175.67699909210205,0.092903936,16
,16,32.0,256,0.1,24,2,2,2,0.002078078326484789,512,,True,16,adafactor,rotary,True,char,,False,True,200,True,1.661815333366394,351.42059803009033,0.11591808,32
,64,,512,0.15,24,4,8,2,0.0008998707840595398,512,,False,12,adafactor,rotary,False,char,,False,False,50,False,2.418892168998718,1081.1756944656372,0.187087104,512
,24,16.0,192,0.2677102353399179,24,4,8,2,6.77774030752997e-05,192,,False,20,adamw,absolute,True,char,,False,True,127,False,2.5450666546821594,386.6219997406006,0.178250496,192
0.03571237970809751,16,32.0,256,0.15,24,2,4,4,0.000507366190985212,256,6.0,True,8,lion,rotary,True,char,2.0,True,True,100,True,1.596327042579651,231.7370319366455,0.201977344,64
